Iteration,Loss
100,0.5219661557674408
200,0.4964463147521019
300,0.4975267061591148
400,0.4755652791261673
500,0.45294338881969454
600,0.44753237888216973
700,0.3614620330557227
800,0.34782865948975084
900,0.3090435807406902
1000,0.22130363995674998
1100,0.19811212456319482
1200,0.1417200751439668
1300,0.15283064996358006
1400,0.13801497070031474
1500,0.11670754684339045
1600,0.12166100023430772
1700,0.10895297455135733
1800,0.11017733788758051
1900,0.11159212480182759
2000,0.08435239567566896
2100,0.11251493002346251
2200,0.11906479080731515
2300,0.10422965402831323
2400,0.10880694438936189
2500,0.09670316658099182
2600,0.09555368890636601
2700,0.08206233289034572
2800,0.0831131068704417
2900,0.0867476599884685
3000,0.08648412827082211
3100,0.0763311072261422
3200,0.09443563823821023
3300,0.0836424895748496
3400,0.06616547171608544
3500,0.08776192174758762
3600,0.08905354658141733
3700,0.09191644850216107
3800,0.08731083924358245
3900,0.060439775216000274
4000,0.08170019993325696
4100,0.08156296582703362
4200,0.08566143088741228
4300,0.08670445402385667
4400,0.09266470056041726
4500,0.06982115435544983
4600,0.08681041822943371
4700,0.09886573678348214
4800,0.0743524423573399
4900,0.07861117941676639
5000,0.07408756589051337
5100,0.08542048434086609
5200,0.06638933256384917
5300,0.08493496122886426
5400,0.09181096496875397
5500,0.07459040141795413
5600,0.08586443870095536
5700,0.0810515265315189
5800,0.05771852465928532
5900,0.0945180847030133
6000,0.07622490387409925
6100,0.06336147097353888
6200,0.06616398964775726
6300,0.058869309341534976
6400,0.0716633136830933
6500,0.056194931574445946
6600,0.07696779110352509
6700,0.07741689642076381
6800,0.0765077869896777
6900,0.05871826357935788
7000,0.06608087293192512
7100,0.06167653775133658
7200,0.05899506292131264
7300,0.06630219630867941
7400,0.0633106198266978
7500,0.09278820125604398
7600,0.07516147890564753
7700,0.052906431281735423
7800,0.05341322074193158
7900,0.06529460028745233
8000,0.07088828842319345
8100,0.06328554162406362
8200,0.061631446308456364
8300,0.06893015282868874
8400,0.06911765050754184
8500,0.08040519558009691
8600,0.06737251378428483
8700,0.05657213118451182
8800,0.08470618048246252
8900,0.06499762056395411
9000,0.06730219562072307
9100,0.06479292593721767
9200,0.049070166300516575
9300,0.06622678595827892
9400,0.0804099808447063
9500,0.06097281177935656
9600,0.0743333552009426
9700,0.06773050118412356
9800,0.06908578809176107
9900,0.06381860854991828
10000,0.06582818834795034
10100,0.05829279498822871
10200,0.06117939607996959
10300,0.052594961443683134
10400,0.062301555757439925
10500,0.06738344944169512
10600,0.048086160924722204
10700,0.06477750803678646
10800,0.05196056187109207
10900,0.053354028252069835
11000,0.05463210854504723
11100,0.05330350534604804
11200,0.06287104933522641
11300,0.04926862839434762
11400,0.04721291178750107
11500,0.05636684667901136
11600,0.06744299099838827
11700,0.06613244523876347
11800,0.07007878904638347
11900,0.06354389838001225
12000,0.05383198182738852
12100,0.05803233915692545
12200,0.06406269459017494
12300,0.06383443090948276
12400,0.06341866237082286
12500,0.06426083328115055
12600,0.057956431237398645
12700,0.0758058526556124
12800,0.06098384371347493
12900,0.07385989141454047
13000,0.05530398276401684
13100,0.06658568083774298
13200,0.06160550864056859
13300,0.0488397624076606
13400,0.055388502757559764
