path_idx,pos_x,pos_y,heading,prediction,ground_truth,gazenet_20240325_combined,new_prediction,gazenet_20240319_01
180125,0.030514773,-0.028599098,-0.0009597577371778,-0.968346357345581,0,-0.4133073985576629,-0.4133073985576629,-0.8149673938751221
180130,0.02881549,2.4289098,0.0002899705893417,-2.9698874950408936,0,-3.086110591888428,-3.086110591888428,-2.8687782287597656
180127,0.03814772,0.93416053,-0.0011113522543411,-2.32669734954834,0,3.122161388397217,3.122161388397217,-1.1646298170089722
180157,2.0190413,1.9210403,-0.003204834945631,-1.0169256925582886,0,-2.5336718559265137,-2.5336718559265137,-0.6750367879867554
180138,0.4846172,2.9377363,-0.0019967500619468,-1.4881173372268677,0,-2.967958450317383,-2.967958450317383,-0.47916704416275024
180144,1.0259341,2.4211688,-0.0035582912518279,-2.02769422531128,0,-2.750900983810425,-2.750900983810425,-0.8986188769340515
180146,1.4352676,0.053491563,0.002302888753598,-0.9350975751876832,0,-1.291369915008545,-1.291369915008545,-0.867044985294342
180135,0.48044288,1.4354545,0.0005043123594159,-0.7947357296943665,0,-2.8503215312957764,-2.8503215312957764,-0.7000485062599182
180142,0.9732653,1.4333307,-0.0070466456444009,-1.7122657299041748,0,-2.695159435272217,-2.695159435272217,-0.9686387181282043
180145,0.98442924,2.9344118,0.0012725437251583,-2.367278814315796,0,-2.767420053482056,-2.767420053482056,-0.5684980154037476
180143,1.0747982,1.9211383,0.0076411241672538,-1.591179370880127,0,-2.673180341720581,-2.673180341720581,-1.036185383796692
180131,0.0062684542,2.9373474,-0.0009759085475273,2.3102121353149414,0,3.0206687450408936,3.0206687450408936,-0.1469053328037262
180132,0.4412547,0.069987446,0.0004482104756613,-1.2833421230316162,0,-1.02121901512146,-1.02121901512146,-0.9745268225669861
180153,1.9550772,0.07869966,-0.0060818885664648,-0.636175274848938,0,-1.0560916662216189,-1.0560916662216189,-0.7228796482086182
180124,0.030514773,-0.028599098,-0.0009597577371778,-0.5998990535736084,0,-0.3801836669445038,-0.3801836669445038,-0.5583168268203735
180148,1.4868332,0.9340935,-0.0002792077098519,-2.1736745834350586,0,-1.9559844732284544,-1.9559844732284544,-1.516653299331665
180137,0.5261075,2.4246027,-0.006456679383846,-2.147773265838623,0,-2.911326169967652,-2.911326169967652,-0.7360545992851257
180136,0.5539648,1.9242152,0.0075195864544759,-1.524099349975586,0,-2.8476767539978027,-2.8476767539978027,-0.7399440407752991
180134,0.50434524,0.9322367,-0.0006264776945918,-2.1937060356140137,0,-2.9197492599487305,-2.9197492599487305,-1.5982465744018555
180129,0.006109933,1.9337753,-6.348856885285414e-05,-2.7716517448425293,0,-3.084965229034424,-3.084965229034424,-0.5035651922225952
180128,0.006462523,1.4208673,0.0005237710636474,-0.0478170365095138,0,3.132984399795532,3.132984399795532,-0.47580575942993164
180141,0.99819434,0.93649113,-0.0036243420664217,-2.326455593109131,0,-2.497042417526245,-2.497042417526245,-1.7320579290390015
180139,0.9304149,0.06399699,0.0029935142959844,-1.0227453708648682,0,-1.375317931175232,-1.375317931175232,-0.9542197585105896
180155,1.987028,0.93737763,-0.0008006727049032,-1.4624420404434204,0,-1.9741305112838743,-1.9741305112838743,-0.7875794768333435
180140,1.0708904,0.42729014,0.001497836389837,-1.841091275215149,0,-1.8581678867340088,-1.8581678867340088,-1.0713162422180176
180150,1.56793,1.9210455,0.0023400073880748,-1.1221693754196167,0,-2.310129165649414,-2.310129165649414,-0.7905606031417847
180152,1.5066217,2.9251168,-0.0014608506054223,-1.0531080961227417,0,-2.496635675430298,-2.496635675430298,-0.5280917286872864
180154,2.04908,0.4416717,-0.0057305422042617,-0.7775890231132507,0,-1.411918878555298,-1.411918878555298,-0.7036970257759094
180133,0.5663858,0.43683878,-0.0021334832623267,-1.9364168643951416,0,-2.0453007221221924,-2.0453007221221924,-1.1242550611495972
180147,1.5686707,0.4323903,-0.0066922238676028,-1.7096697092056274,0,-1.67325758934021,-1.67325758934021,-1.3494350910186768
180149,1.494346,1.4257026,0.0029357285620368,-1.6107698678970337,0,-2.1833250522613525,-2.1833250522613525,-1.1349396705627441
180156,2.0136151,1.4244187,0.0031776998578596,-0.912897527217865,0,-2.441669464111328,-2.441669464111328,-0.7943388223648071
