path_idx,pos_x,pos_y,heading,prediction,gazenet_20240319_01
0,0.019774528,-0.03086395,-0.0011049598649677,-1.2669395208358765,-0.5080308318138123
1,0.019774528,-0.03086395,-0.0011049598649677,-0.5539073944091797,-0.4312525689601898
2,0.1359058,0.11236301,0.8626412620037027,-1.3492974042892456,-1.4159926176071167
3,-0.10726528,0.244217,2.24626082218558,-0.4095786809921264,-1.1426339149475098
4,-0.24091761,0.20900945,-2.9861232185982685,-0.3900337219238281,-0.5459212064743042
5,-0.34813672,-0.18733129,-1.979342809279408,-0.8057800531387329,-0.704124391078949
6,-0.23524831,-0.3997699,-1.0542108659053433,-0.1981305032968521,-0.6491960287094116
7,0.32133278,-0.4786404,-0.1398349026057967,-0.6288073062896729,-0.6243155002593994
8,0.5794757,-0.19174139,0.7553274822472034,-0.0081626130267977,-0.6726955771446228
9,0.52274376,0.49586186,1.6444235639891716,-0.2229258567094802,-0.7355218529701233
10,0.1065807,0.8515761,2.524622371800177,-0.3941173553466797,-0.4857840836048126
11,-0.6367511,0.6652579,-2.880417127582674,-0.3733465671539306,-0.6441798806190491
12,-0.9461021,-0.17470512,-1.9978879103888156,0.4063193202018738,-0.583562433719635
13,-0.5649463,-0.9372223,-1.1220397266208604,-0.7390146851539612,-0.5431489944458008
14,0.23106426,-1.0781085,-0.2509020263153108,-0.2570604979991913,-0.49613258242607117
15,1.0811629,-0.5674666,0.6224678470364551,-0.6546465754508972,-0.5062885880470276
16,1.1517652,0.49148956,1.4932308534250942,0.7224113941192627,-0.46770066022872925
17,0.44067448,1.385639,2.3680458693322297,-0.6604923605918884,-0.5007540583610535
18,-0.90596277,1.2394279,-3.040703078487495,-0.1759939342737198,-0.44409334659576416
19,-1.5104042,0.22877736,-2.178669403661246,-0.5923488140106201,-0.49526968598365784
20,-1.1805118,-1.2076589,-1.3054075558174745,-0.5919572710990906,-0.5931800007820129
21,0.1709609,-1.6733334,-0.4331761127464801,-0.4174746572971344,-0.5430379509925842
22,1.3755952,-1.0480188,0.4323999971228858,-0.0392080694437027,-0.5179308652877808
23,1.7924327,0.3309915,1.2989178754104571,-0.1206667125225067,-0.4893801808357239
24,0.8622242,1.7962816,2.175822174286955,-0.1339373588562011,-0.5641801357269287
25,-0.6966593,1.9140792,3.0429111983283184,-0.2328089475631714,-0.2677697241306305
26,-1.9819027,0.6438311,-2.3750014212541,-0.5368581414222717,-0.4930456876754761
